Community ID,Nodes,Label,Purity,Entropy
0,489,17,0.40245398773006135,1.3641913057687236
1,998,17,0.52845691382765532,1.3307552041014477
3,147,10,0.4108843537414966,1.305816204826259
4,1739,17,0.50759056929269695,1.3725888996145517
5,4,14,0.5,1.0397207708399179
7,653,17,0.57917304747320062,1.4141497300552692
12,6,0,0.4333333333333333,1.3296613488547582
16,1115,17,0.20358744394618833,2.363332469403248
27,1374,17,0.2081513828238719,2.355903118296179
28,73,17,0.5191780821917808,1.3892660890924975
30,276,17,0.41739130434782608,1.2701806386766923
41,8,0,0.5,1.0397207708399179
46,176,10,0.5159090909090909,1.2516583751368184
52,153,17,0.4830065359477124,1.3039279630056324
56,408,17,0.6107843137254902,1.405564539773479
57,5,3,0.5,1.0549201679861442
